,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,5'000,10'500,13'000,20'000,25'000,30'000,35'000,40'000,45'000,46'000,47'000,47'000,47'000,48'000,55'000,101'390,,,0.25,0.51,0.61,0.91,1.09,1.24,1.37,1.48,1.58,1.54,1.50,1.45,1.40,1.38,1.53,2.76,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Ministry of Communications,,Communication and Information Technology Regulatory Authority,,Communication and Information Technology Regulatory Authority (CITRA).
Kyrgyzstan,,,36,139,1'907,2'292,2'762,3'115,19'032,17'355,23'053,39'040,54'614,136'200,170'706,211'521,236'219,0,,,0.00,0.00,0.04,0.05,0.05,0.06,0.37,0.33,0.43,0.72,1.00,2.46,3.03,3.71,4.08,,,,,,,,,,,,,,,,,National Communications Agency.,,National Communications Agency.,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under the Governmet of the Kyrgyz Republic,,State Communications Agency under State Committee of IT and Communications of the Kyrgyz Republic
Lao P.D.R.,,,,25,50,314,741,1'135,2'896,4'317,5'885,6'546,7'578,9'025,11'287,36'839,24'426,,,,,0.00,0.00,0.01,0.01,0.02,0.05,0.07,0.09,0.10,0.11,0.13,0.16,0.52,0.34,,,,,,,,,ITU estimate.,,"Lao Telecommunications Co., Ltd.",,"Lao Telecommunications Co., Ltd.",,"Ministère des communications, transports, postes et de la construction.",,National Authority of Post and Telecommunication.,,National Authority of Post and Telecommunication.,,National Authority of Post and Telecommunication.,Only ETL and LTC,Ministry of Posts and Telecommunications ,Only ETL and LTC,Ministry of Posts and Telecommunications ,Only ETL and LTC,ITU estimate.,"There are Ref.no from 4 main operators, LTC,BEELINE,UNITEL,ETL",ITU estimate.,"There are Ref.no from 4 main operators, LTC,BEELINE,UNITEL,ETL",Ministry of Post and Telecommunication,"There are Ref.no from 4 main operators, LTC,BEELINE,UNITEL,ETL",Ministry of Post and Telecommunication,"There are Ref.no from 4 main operators, LTC,BEELINE,UNITEL,ETL",Ministry of Post and Telecommunication
Latvia,284,3'235,10'000,19'533,49'147,60'770,109'674,338'559,412'108,454'714,434'876,457'422,476'141,496'000,505'000,503'503,518'007,,0.01,0.14,0.43,0.85,2.18,2.73,4.99,15.62,19.27,21.53,20.80,22.06,23.11,24.19,24.74,24.79,25.64,,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport.,,Ministry of Transport,,Ministry of Transport,,Ministry of Transport,,Ministry of Transport,Source - Public Utilities Commission,Ministry of Transport,Source - Public Utilities Commission,Ministry of Transport,,Public Utilities Commission,Source - Public Utilities Commission,"Ministry of Transport, Department of Communications",Source - Public Utilities Commission,"Ministry of Transport, Department of Communications"
Lebanon,,,0,0,0,0,0,50'000,100'000,197'000,331'089,402'329,476'185,480'000,1'132'139,1'283'258,1'300'000,,,,0.00,0.00,0.00,0.00,0.00,1.21,2.39,4.64,7.63,8.98,10.25,9.95,22.80,25.39,25.62,,,,,,,Ministry of Telecommunications,,Ministry of Telecommunications,,Ministry of Telecommunications,,Ministry of Telecommunications,,Ministry of Telecommunications,,ITU estimate.,,ITU estimate. ,,ITU estimate.,.,Telecommunications Regulatory Authority,,Telecommunications Regulatory Authority,Source: MOT.,Telecommunications Regulatory Authority,,Telecommunications Regulatory Authority,"From this year incl. Internet cable subscriptions (596'663) that were not included before. In 2014, for the first time MOT issued licences to cable operators to allow them to offer Internet services.  ",Ogero/ MOT,,ITU estimate.,,ITU estimate.
Lesotho,,,,,22,45,,110,140,400,400,1'339,1'636,2'275,1'502,2'062,2'230,,,,,,0.00,0.00,,0.01,0.01,0.02,0.02,0.07,0.08,0.11,0.07,0.10,0.10,,,,,,,,,,,ITU estimate.,,ITU estimate.,,,,Lesotho Telecommunications Authority (LTA).,,Lesotho Telecommunications Authority (LTA).,,ITU estimate.,,ITU estimate.,,,,Lesotho Telecommunications Authority,,Lesotho Communications Authority,,Lesotho Communications Authority,,Lesotho Communications Authority,,Lesotho Communications Authority
Liberia,,,,,,,,,110,150,186,63,524,5'080,6'000,7'000,8'000,,,,,,,,,,0.00,0.00,0.00,0.00,0.01,0.12,0.14,0.16,0.17,,,,,,,,,,,,,,,,,,Data represents only one major service provider.,Liberia Telecommunications Authority ,Data represents only one major service provider.,Liberia Telecommunications Authority ,,Liberia Telecommunications Authority,Data represents three major service provider. Very limited fixed broadband ,Liberia Telecommunications Authority ,,,,,,ITU estimate,,ITU estimate.,,ITU estimate.
Libya,,,,,,,,,46'242,63'000,72'800,70'000,67'300,64'700,62'800,61'000,168'920,,,,,,,,,,0.79,1.06,1.21,1.15,1.09,1.04,1.00,0.97,2.64,,,,,,,,,,,,,,,,,,,General Telecom Authority.,,General Telecom Authority.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,General Authority for Communications and informatics
Liechtenstein,,,1'437,1'500,4'741,8'617,10'000,14'200,15'550,15'983,15'250,13'595,14'416,15'016,15'610,15'696,16'000,,,,4.25,4.39,13.76,24.80,28.55,40.22,43.70,44.58,42.22,37.36,39.33,40.67,41.97,41.90,42.41,,,,,,,,,,,,,,,,Source: LIE yearly statistics report.,Office for Communications,Source: LIE yearly statistics report.,Office for Communications,Source: LIE yearly statistics report.,Office for Communications,Source: LIE yearly statistics report.,Office for Communications,,Office for Communications,,,,,,Office for Communications.,,Office for Communications,,ITU estimate.
Lithuania,,2'427,20'000,66'790,129'051,234'081,368'715,559'036,590'103,633'779,679'321,727'699,768'861,836'200,801'863,833'298,857'761,1,,0.07,0.58,1.98,3.87,7.12,11.38,17.52,18.77,20.43,22.14,23.91,25.39,27.72,26.66,27.79,28.70,,,,,Lithuanian Telecom.,,Communications Regulatory Authority.,,Communications Regulatory Authority.,,Communications Regulatory Authority.,,Communications Regulatory Authority.,,Communications Regulatory Authority.,,Communications Regulatory Authority.,,Communications Regulatory Authority of the Republic of Lithuania,,Communications Regulatory Authority of the Republic of Lithuania,,Communications Regulatory Authority of the Republic of Lithuania,,Communications Regulatory Authority of the Republic of Lithuania,,Communications Regulatory Authority of the Republic of Lithuania,,Communications Regulatory Authority of the Republic of Lithuania,The number of subscriptions in 2014 went down because from 2014 WiFi services that are used as ad-on to subscriptions to other internet access services are no longer included.,Communications Regulatory Authority of the Republic of Lithuania,Wimax included to the mobile,Communications Regulatory Authority of the Republic of Lithuania,Wimax included to the mobile,Communications Regulatory Authority of the Republic of Lithuania
Luxembourg,,1'215,5'827,15'351,36'500,70'100,98'930,128'680,143'200,156'120,168'368,169'753,169'700,176'500,186'800,195'300,202'000,,,0.28,1.31,3.43,8.08,15.31,21.22,27.02,29.39,31.34,33.15,32.88,32.40,33.28,34.80,35.95,36.73,,,,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.,,OECD.,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation.,,Institut Luxembourgeois de Régulation,,Institut Luxembourgeois de Régulation,,Institut Luxembourgeois de Régulation,,Institut Luxembourgeois de Régulation,,Institut Luxembourgeois de Régulation,Incl. non-residential customers (ca 25'000).,Institut Luxembourgeois de Régulation,Incl. non-residential customers (ca 49'000).,Institut Luxembourgeois de Régulation,,ITU estimate.
"Macao, China",3'731,9'788,16'954,27'774,45'218,68'030,92'217,110'498,121'569,126'142,132'081,137'661,144'596,151'796,161'498,169'939,177'959,,0.86,2.23,3.82,6.16,9.86,14.53,19.22,22.40,23.95,24.18,24.71,25.20,25.97,26.80,28.06,29.08,30.00,,,,,,,,,,,,,,,,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,,Bureau of Telecommunications Regulation,CTT website.,ITU estimate.
Madagascar,,,,,,,1'361,2'354,3'488,4'576,5'391,6'852,31'077,37'988,24'835,23'694,14'247,,,,,,,,0.01,0.01,0.02,0.02,0.03,0.03,0.14,0.17,0.11,0.10,0.06,,,,,,,,,,,,,,,,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,Office Malagasy d'Etudes et de Regulation des Télécommunications.,,"ITU, based on number of dsl and other fixed broadband lines. ",,Office Malagasy d'Etudes et de Regulation des Télécommunications,,Office Malagasy d'Etudes et de Regulation des Télécommunications,,Office Malagasy d'Etudes et de Regulation des Télécommunications,,Autorité de Régulation des Technologies de Communication,,Autorité de Régulation des Technologies de Communication,,Autorité de Régulation des Technologies de Communication
Malawi,,,,69,138,404,,934,986,1'034,1'085,1'730,1'238,8'777,8'561,5'855,8'692,,,,,0.00,0.00,0.00,,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.03,0.05,,,,,,,,,,,,,,,,,Malawi Communications Regulatory Authority.,MACRA,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority,,Malawi Communications Regulatory Authority
Malaysia,,4'000,19'302,110'402,252'500,483'100,751'000,1'035'200,1'329'300,1'553'600,2'097'800,2'506'700,2'920'900,2'938'800,3'061'000,3'063'820,2'718'800,,,0.02,0.08,0.44,1.00,1.87,2.85,3.86,4.87,5.59,7.42,8.72,9.99,9.89,10.14,10.00,8.74,,,,,,,,,,,,,,,,,SKMM.,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission,,Malaysian Communications and Multimedia Commission
Maldives,,,190,503,717,3'260,6'274,10'405,15'359,15'380,15'553,17'638,18'059,20'351,19'842,23'175,26'295,0,,,0.07,0.17,0.25,1.10,2.07,3.38,4.89,4.81,4.78,5.31,5.34,5.90,5.64,6.47,7.22,,,,,,,,,,,,,,,,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives,,Communications Authority of Maldives
Mali,,,,,,,3'085,3'200,5'272,8'244,8'019,8'482,4'320,2'909,2'990,3'499,5'807,,,,,,,,0.03,0.03,0.04,0.06,0.06,0.06,0.03,0.02,0.02,0.02,0.03,,,,,,,,,,,,,,,,,Comité de Régulation des Télécommunications.,,Comité de Régulation des Télécommunications.,,Comité de Régulation des Télécommunications.,,Comité de Régulation des Télécommunications,,Comité de Régulation des Télécommunications,,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP),,Autorité Malienne de Régulation des Télécommunications/TIC et Postes (AMRTP)
Malta,1'656,9'157,17'679,22'736,37'642,51'409,52'948,83'982,98'209,113'656,125'889,128'678,135'758,143'010,151'557,163'205,171'293,,0.41,2.24,4.31,5.52,9.11,12.40,12.71,20.06,23.34,26.88,29.64,30.18,31.74,33.34,35.23,37.85,39.62,,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority.,,Malta Communications Authority,,Malta Communications Authority,"Includes DSL, cable and BWA subscribers over 256 kbit/s.",Malta Communications Authority,,Malta Communications Authority,,Malta Communications Authority,,Malta Communications Authority,,Malta Communications Authority,,Malta Communications Authority,,Malta Communications Authority,,Malta Communications Authority
Marshall Islands,,,,,,,,,,,,,,1'284,1'372,1'000,1'000,,,,,,,,,,,,,,,2.44,2.60,1.89,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1175 fixed wired broadband subscriptions, 109 leased lines. ",Marshall Islands National Telecommunications Authority (NTA),"1261 fixed wired broadband subscriptions, 111 leased lines. ",Marshall Islands National Telecommunications Authority (NTA),,ITU estimate.,,ITU estimate.
Martinique [included in France data],,,,6'000,,,,6'000,6'000,6'000,6'000,,,,,,,,,,,1.53,,,,1.50,1.49,1.48,1.48,,,,,,,,,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,,,,,,,,,,,
Mauritania,,,,,,164,973,4'000,5'876,6'775,5'809,6'120,6'697,7'532,8'000,9'638,10'641,0.014440627,,,,,,0.01,0.03,0.12,0.17,0.19,0.16,0.17,0.18,0.19,0.20,0.24,0.25,,,,,,,,,,,,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation.,,Autorité de Régulation,,Autorité de Régulation,,Autorité de Régulation,,Autorité de Régulation,ADSL and Leased lines,Autorité de Régulation,,ITU estimate.,,Autorité de Régulation,,Autorité de Régulation
Mauritius,,,285,1'184,2'564,5'398,27'895,35'132,52'511,72'875,93'922,118'235,140'800,162'400,182'000,197'400,212'600,,,,0.02,0.10,0.21,0.45,2.29,2.88,4.29,5.94,7.63,9.57,11.36,13.05,14.57,15.75,16.90,,,,,,,,,,,,,,,ICTA.,In previous figures the total number of mobile broadband subscribers were included,Information Communication Technologies Authority,,Information and Communication Technologies Authority of Mauritius,,Information and Communication Technologies Authority of Mauritius,,Information and Communication Technologies Authority of Mauritius,,Information and Communication Technologies Authority of Mauritius,,Information and Communication Technologies Authority of Mauritius,,Information and Communication Technologies Authority of Mauritius,,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority of Mauritius,Information and Communication Technologies Authority of Mauritius
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,15'000,50'000,231'486,428'371,1'057'282,1'922'352,3'020'000,4'504'422,7'532'633,9'641'168,10'582'865,11'566'069,13'077'276,12'747'873,13'032'519,14'757'686,16'049'645,2,0.01,0.05,0.22,0.40,0.97,1.74,2.69,3.97,6.55,8.28,8.98,9.69,10.82,10.42,10.53,11.78,12.67,,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,Comisión Federal de Telecomunicaciones (CFT).,,ITU estimate based on OECD data and comments by country.,,Comisión Federal de Telecomunicaciones,,Comisión Federal de Telecomunicaciones de México,,Comisión Federal de Telecomunicaciones de México,,ITU estimate.,,"Instituto Federal de Telecomunicaciones de México
Instituto Federal de Telecomunicaciones de México
Instituto Federal de Telecomunicaciones de México",,Instituto Federal de Telecomunicaciones de México,,Instituto Federal de Telecomunicaciones de México,,Instituto Federal de Telecomunicaciones de México,,Instituto Federal de Telecomunicaciones de México,Preliminary - December 2016 ,Instituto Federal de Telecomunicaciones de México
Micronesia,,,,6,26,46,95,116,,,998,,,2'063,3'092,3'277,3'169,,,,,0.01,0.02,0.04,0.09,0.11,,,0.96,,,1.99,2.98,3.14,3.01,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,,,,,"Department of Transportation, Communications and Infrastructure",,,,,"According to FSM Telecom as of March 12, 2014","Department of Transportation, Communications and Infrastructure",According to FSM Telecom for 2014 statistic,"Department of Transportation, Communications and Infrastructure",,"Department of Transportation, Communications and Infrastructure",,"Department of Transportation, Communications and Infrastructure"
Moldova,,239,418,597,2'429,10'395,21'792,52'806,115'227,187'665,270'756,356'324,418'519,469'367,509'195,534'393,557'403,,,0.01,0.01,0.02,0.06,0.28,0.59,1.44,3.17,5.21,7.58,10.06,11.91,13.46,14.71,15.55,16.33,,,,,ITU estimate.,,Ministry of Transport and Communications.,,National Regulatory Agency for Telecommunications and Informatics.,,National Regulatory Agency for Telecommunications and Informatics.,,National Regulatory Agency for Telecommunications and Informatics.,,National Regulatory Agency for Telecommunications and Informatics.,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology (ANRCETI) .,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology,,National Regulatory Agency for Electronic Communications and Information Technology
Monaco,800,2'658,4'904,6'535,7'606,9'500,11'000,12'300,13'000,13'400,13'800,15'920,16'258,16'896,17'800,18'354,18'614,,2.49,8.21,15.02,19.82,22.81,28.10,32.01,35.13,36.43,36.90,37.45,42.73,43.26,44.66,46.76,47.90,48.22,,,,,,,,,,,,,,,,,Direction du Controle des Concessions et des Telecommunications.,,ITU estimate. ,,ITU estimate.,,Direction des Communications Electroniques,,Direction des Communications Electroniques,Full VDSL,Direction des Communications Electroniques,,Direction des Communications Electroniques,,ITU estimate.,,Direction des Communications Electroniques,,Direction des Communications Electroniques
Mongolia,,49,90,500,900,1'800,3'500,7'395,32'504,40'077,76'754,94'052,110'165,139'729,197'247,208'047,226'147,,,0.00,0.00,0.02,0.04,0.07,0.14,0.28,1.23,1.50,2.83,3.41,3.94,4.92,6.85,7.12,7.63,,,,,,,,,,,,,,,,,Communications Regulatory Commission.,,Communications Regulatory Commission.,,Communications Regulatory Commission of Mongolia,,Communications Regulatory Commission of Mongolia,,Communications Regulatory Commission of Mongolia,,Communications Regulatory Commission of Mongolia,,"Information Technology, Post and Telecommunications Authority",,"Information Technology, Post and Telecommunications Authority ",,Communications Regulatory Commission of Mongolia ,,Communications Regulatory Commission of Mongolia 
Montenegro,,,,,,7'665,,17'852,39'749,59'329,64'665,64'712,87'768,95'721,103'863,112'394,114'848,,,,,,,1.24,,2.89,6.43,9.58,10.43,10.43,14.13,15.40,16.71,18.08,18.48,,,,,,,,,,,,,,,,,Agency for telecommunications and postal services.,,Agency for telecommunications and postal services.,,Agency for telecommunications and postal services.,,ITU estimate.,,ITU estimate.,,Agency for Electronic Communications and Postal Services,,Agency for Electronic Communications and Postal Services,,Agency for Electronic Communications and Postal Services,,Agency for Electronic Communications and Postal Services,,Agency for Electronic Communications and Postal Services
Montserrat,,,,,,,44,50,10,20,50,300,600,1'200,2'700,6'000,,,,,,,,,0.91,1.02,0.20,0.41,1.01,6.00,11.89,23.57,52.58,115.92,,,,,,,,,,,,,,,,,,Ministry of Communications & Works,,Ministry of Communications & Works,,Ministry of Communications & Works,,Ministry of Communications & Works,,Montserrat Infor-Communications Authority (MICA),,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,
Morocco,,,2'000,2'712,64'660,249'138,391'857,477'360,493'228,479'503,504'499,595'207,689'541,843'940,993'451,1'147'533,1'255'428,,,,0.01,0.01,0.22,0.83,1.29,1.56,1.59,1.53,1.59,1.86,2.12,2.56,2.97,3.38,3.65,,,,,,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,,Agence nationale de réglementation des télécommunications.,128kbit/s and more.,Agence nationale de réglementation des télécommunications.,128kbit/s and more.,Agence nationale de réglementation des télécommunications.,128kbit/s and more.,Agence nationale de réglementation des télécommunications.,256kbit/s and more (ADSL).,Agence nationale de réglementation des télécommunications.,1Mbit/s and more (ADSL).,Agence Nationale de Réglementation des Télécommunications,2Mbit/s and more (ADSL),Agence Nationale de Réglementation des Télécommunications,,Agence Nationale de Réglementation des Télécommunications,,Agence Nationale de Réglementation des Télécommunications,,Agence Nationale de Réglementation des Télécommunications,,Agence Nationale de Réglementation des Télécommunications,,Agence Nationale de Réglementation des Télécommunications
Mozambique,,,,,,,2'201,6'367,11'135,13'748,17'323,28'374,29'438,28'852,36'985,42'570,40'263,,,,,,,,0.01,0.03,0.05,0.06,0.07,0.12,0.12,0.11,0.14,0.16,0.14,,,,,,,,,,,,,,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicações de Moçambique (INCM).,,Instituto Nacional das Comunicaç?es de Moçambique,,Instituto Nacional das Comunicaç?es de Moçambique,,Instituto Nacional das Comunicaç?es de Moçambique,,Instituto Nacional das Comunicaç?es de Moçambique,,Instituto Nacional das Comunicaç?es de Moçambique,,Instituto Nacional das Comunicaç?es de Moçambique,"The number of subscribers are from TDM, Teledata, IS and TVCabo. Most of the subscriptions are related to connection and from that link there are more users.",Instituto Nacional das Comunicaç?es de Moçambique
Myanmar,,,,,,243,3'961,6'466,9'995,23'240,22'950,21'898,,,,32'921,30'240,,,,,,,0.00,0.01,0.01,0.02,0.05,0.04,0.04,,,,0.06,0.06,,,,,,,,,,,,,,,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs.",,"Ministry of Communications, Posts and Telegraphs",,"Ministry of Communications, Posts and Telegraphs",,"Ministry of Communications, Posts and Telegraphs",,,,,,,,"Posts and Telecommunications Department, Ministry of communications and Information Technology",,"Posts and Telecommunications Department, Ministry of communications and Information Technology"
Namibia,,,,,,134,198,256,320,477,9'435,17'610,24'053,35'740,41'212,46'191,53'381,,,,,,,0.01,0.01,0.01,0.02,0.02,0.43,0.79,1.06,1.55,1.76,1.93,2.19,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate. ,,ITU estimate.,,Communications Regulatory Authority of Namibia ,,Communications Regulatory Authority of Namibia ,,Communications Regulatory Authority of Namibia ,,Communications Regulatory Authority of Namibia ,,Communications Regulatory Authority of Namibia ,,Communications Regulatory Authority of Namibia ,,Communications Regulatory Authority of Namibia 
Nauru,,,,,,,,,,,950,,,,,,,1.639358423,,,,,,,,,,,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ministry for Transport and Telecommunications,,,,,,,,,,,,
Nepal,,,,,,,963,10'957,12'000,17'078,60'177,94'656,230'618,311'457,250'602,302'705,224'184,,,,,,,,0.00,0.04,0.05,0.06,0.22,0.35,0.84,1.12,0.89,1.06,0.78,,,,,,,,,,,,,,,,,Nepal Telecommunications Authority,,ITU estimate.,,ITU estimate.,December.,ITU based on Nepal Telecommunications Authority,December.,Nepal Telecommunications Authority,,"ITU estimate based on December, 2012 NTA MIS.",,Nepal Telecommunications Authority,December 2014. Source: Management Information System Report.,Nepal Telecommunications Authority,December 2015. Source: Management Information System ,Nepal Telecommunications Authority,"NTA MIS January report.DSL, fibre and cable modem.",ITU Research.
Neth. Antilles,,,,,,,,,,,,,,,,,,0.120735131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,260'000,466'200,1'170'966,1'988'000,3'206'000,4'100'000,5'192'200,5'507'000,5'805'000,6'129'000,6'329'000,6'498'007,6'654'000,6'792'000,6'851'000,7'029'097,7'119'110,0,1.64,2.92,7.30,12.32,19.76,25.15,31.71,33.49,35.17,37.01,38.09,38.99,39.81,40.53,40.77,41.73,42.16,,,"KPN, Libertel.",,Independent Post and Telecommunications Authority (OPTA).,,Independent Post and Telecommunications Authority (OPTA).,,Independent Post and Telecommunications Authority (OPTA).,,Independent Post and Telecommunications Authority (OPTA).,,Independent Post and Telecommunications Authority (OPTA).,,OECD.,September.,Independent Post and Telecommunications Authority (OPTA).,,Independent Post and Telecommunication Authority,,Independent Post and Telecommunication Authority,,Independent Post and Telecommunication Authority,,Independent Post and Telecommunication Authority,,Authority for Consumers and Markets,,ITU research based on ACM's website.,Q3.,Authority for Consumers and Markets,,Authority for Consumers and Markets,Data Q3 2016,Authority for Consumers and Markets
New Caledonia,,132,700,1'668,5'146,9'600,15'601,20'315,25'455,33'121,38'196,42'767,47'900,53'600,58'300,55'371,,,,0.06,0.32,0.75,2.29,4.20,6.72,8.61,10.63,13.63,15.50,17.12,18.92,20.90,22.44,21.04,,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,Office des Postes et Télécommunications de Nouvelle-Calédonie,,Office des Postes et Télécommunications,,Office des Postes et Télécommunications,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Office des Postes et Télécommunications,,
New Zealand,4'658,17'267,43'500,83'000,191'695,321'000,470'200,853'020,914'961,1'022'335,1'092'000,1'178'000,1'272'000,1'316'000,1'410'000,1'450'900,1'503'600,,0.12,0.44,1.10,2.06,4.70,7.76,11.24,20.15,21.39,23.65,25.00,26.69,28.52,29.21,30.98,31.57,32.40,,,Telecom Corporation of New Zealand Ltd.,,Telecom Corporation of New Zealand Ltd.,,Telecom Corporation of New Zealand Ltd.,,Telecom Corporation of New Zealand Ltd.,,Ministry of Economic Development.,March.,Ministry of Economic Development.,March.,Ministry of Economic Development.,December.,OECD.,December.,ComCom.,,"Ministry of Business, Innovation and Employment",,"Ministry of Business, Innovation and Employment",,"Ministry of Business, Innovation and Employment",,"Ministry of Business, Innovation and Employment",,"Ministry of Business, Innovation and Employment",,"Ministry of Business, Innovation and Employment",As of June 2015.,"Ministry of Business, Innovation and Employment",As at June 2016 and as provided to OECD ,"Ministry of Business, Innovation and Employment"
Nicaragua,700,1'604,2'319,4'403,5'001,10'534,19'042,27'550,43'212,78'678,73'279,85'092,101'312,131'687,111'409,116'308,177'024,,0.01,0.03,0.04,0.08,0.09,0.19,0.34,0.49,0.76,1.37,1.26,1.44,1.69,2.17,1.81,1.86,2.79,,,,,,,,,,,,,,,,,ITU estimate.,,Instituto Nicaraguense de Telecomunicaciones y Correos,,Instituto Nicaraguense de Telecomunicaciones y Correos,,Instituto Nicaraguense de Telecomunicaciones y Correos,,Instituto Nicaraguense de Telecomunicaciones y Correos,,Instituto Nicaraguense de Telecomunicaciones y Correos,Estimate.,Instituto Nicaraguense de Telecomunicaciones y Correos,Estimate.,Instituto Nicaraguense de Telecomunicaciones y Correos,Estimate.,Instituto Nicaraguense de Telecomunicaciones y Correos,Estimate connections,Instituto Nicaraguense de Telecomunicaciones y Correos
Niger,,,,,77,212,347,482,617,1'000,1'500,2'114,3'669,6'400,9'200,11'000,13'600,,,,,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.04,0.05,0.06,0.07,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,ITU estimate. ,,Institut National de la Statistique,,Institut National de la Statistique,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
